unit,na_item,geo\time	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 	1989 	1988 	1987 	1986 	1985 	1984 	1983 	1982 	1981 	1980 	1979 	1978 	1977 	1976 	1975 
CLV05_MEUR,P6,TR	205350.5 	164419.9 	191985.1 	184208.2 	169287.7 	150599.4 	153269.2 	148460.9 	138647.5 	132130.0 	115399.6 	102195.0 	100465.4 	104235.5 	100338.8 	93794.8 	88735.9 	81911.4 	73028.3 	67802.0 	62697.6 	59750.8 	50293.3 	56123.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6,UK	: 	: 	705007.3 	686753.8 	666556.0 	632358.5 	615488.6 	598727.8 	597320.2 	592254.7 	588480.4 	548831.3 	518630.1 	566114.3 	563904.3 	575486.5 	510536.7 	473183.6 	452127.4 	441838.6 	437112.5 	427752.7 	392677.0 	381983.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,BE	219155.4 p	199192.0 p	232181.1 	227901.9 	224757.8 	213825.9 	204083.9 	195349.2 	184939.5 	183678.1 	186527.4 	181966.7 	171495.4 	193459.8 	190545.2 	183313.9 	171742.8 	164639.1 	154801.2 	151416.1 	147815.8 	146103.1 	131651.8 	121998.0 	114651.1 	108876.8 	103463.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,CY	7099.2 p	6281.0 p	7982.1 	7060.7 	6537.3 	6076.3 	5621.1 	5099.5 	4694.3 	4477.0 	4805.9 	4530.8 	4396.0 	4976.1 	6363.4 	5729.0 	5096.3 	4751.0 	4333.0 	3923.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,DK	70690.8 	64708.9 	81583.7 	80458.4 	78399.8 	75332.3 	69382.3 	68304.7 	66800.8 	65682.2 	67495.5 	63774.8 	62978.6 	71216.7 	69197.8 	67928.3 	62460.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,EL	30701.4 p	23798.8 p	33447.6 	31213.6 	28779.1 	27726.0 	26991.4 	27340.0 	24406.0 	22787.5 	23663.4 	23504.8 b	23637.9 	28379.0 	28400.3 	24161.6 	22992.2 	21434.2 	17957.2 	18377.7 	16198.6 	15344.8 	14208.2 	11513.6 	11032.7 	9122.7 	8899.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,FR	349776.7 	328911.1 p	400531.8 p	394680.3 	378495.7 	367207.5 	355596.8 	335656.0 	319481.6 	315711.5 	316914.3 	294287.0 	269102.6 	306858.5 	317322.7 	306443.7 	295488.0 	288272.0 	267350.1 	269957.1 	266903.9 	264078.8 	238386.2 	221637.2 	202060.4 	179033.1 	168495.9 	155567.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,HU	101232.5 p	93655.9 	105209.9 	99883.2 	94644.9 	88092.0 	82001.3 	79025.5 	69648.9 	66654.9 	68304.9 	63792.1 	58182.3 	65383.1 	61216.0 	49241.4 	42756.4 	38902.3 	30953.2 	29124.8 	26537.4 	25178.8 	20976.0 	18334.0 	16176.8 	13549.0 	13311.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,IE	169402.4 	136338.0 	166760.5 	160675.2 	138221.6 	132385.0 	127268.0 	109431.7 	98471.7 	100497.6 	101094.4 	100382.0 	98918.5 	96212.7 	102139.0 	92728.0 	90863.3 	84274.7 	76990.5 	81761.1 	73191.0 	65379.0 	53952.6 	46590.8 	37958.4 	32279.8 	28715.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,IT	253740.0 	222307.0 	277929.8 	271273.2 	261942.3 	244109.2 	237059.7 	224364.0 	215516.8 	216879.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,LT	22124.6 	18661.2 	19494.9 	17673.0 	16218.0 	14559.3 	14008.4 	12388.5 	12125.7 	11752.2 	10665.4 	9320.0 	8401.4 	9091.7 	8539.8 	7896.1 	7149.3 	5636.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,LU	56152.5 p	51225.5 	61990.3 	58584.2 	55492.1 	56452.0 	53112.4 	50994.9 	47534.1 	44769.7 	41451.1 	39891.8 	39074.9 	41750.3 	41208.0 	39278.9 	35486.5 	34368.0 	31708.2 	30910.5 	29750.3 	27666.3 	23579.5 	21174.7 	18541.9 	16717.2 	15760.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,LV	8406.9 	7256.2 	8337.2 	8095.8 	7540.2 	7243.3 	6834.0 	6502.9 	5845.1 	5694.3 	5309.2 	4660.6 	4203.7 	4837.2 	4912.8 	4356.6 	4066.6 	3213.6 	2758.0 	2582.7 	2431.5 	2077.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,MT	8306.1 	7271.9 	8865.2 	8165.1 	7966.6 	7103.6 	5769.2 	4365.6 	3719.1 	3568.8 	3481.0 	3191.9 	2756.5 	3070.3 	2936.6 	2607.8 	2284.3 	2111.8 	2133.7 e	2201.0 e	2024.9 e	2256.3 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,NL	382130.1 p	351446.9 	396799.6 	396233.0 	383803.9 	363247.7 	352393.0 	335899.4 	321976.9 	314032.8 	311939.9 	294139.4 	275814.0 	304919.4 	297828.7 	282406.0 	262581.0 	250610.7 	226788.6 	223531.1 	226510.8 	222956.4 	216827.0 	198486.9 	185802.3 	171443.9 	164679.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,PT	49632.3 p	43767.5 	59580.9 	56826.3 	53413.1 	49303.6 	46163.7 	42359.4 	40739.6 	38282.8 	38873.5 	37022.0 	34072.2 	38172.8 	39386.3 	36966.1 	33710.8 	33823.2 	31943.5 	30878.1 	29944.7 	29212.7 	27361.8 	26070.4 	23801.0 	22341.2 	20792.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,SE	111178.4 	101796.1 	124761.0 	120629.0 	114455.5 	109634.3 	106760.3 	101882.4 	96559.5 	94072.7 	92981.4 	88792.2 	80359.8 	95581.3 	96894.1 	91328.5 	84934.3 	80471.1 	72911.5 	63296.0 	62238.3 	62060.2 	55699.6 	52425.2 	48176.7 	42308.9 	40492.8 	36181.6 	31671.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,SK	56176.5 	49796.7 	56180.1 	55583.8 	52465.7 	50598.3 	47722.3 	44811.6 	43227.1 	40820.3 	37670.8 	34345.1 	29349.6 	34821.5 	34398.0 	29773.4 	24015.6 	20041.8 	11883.0 	9781.0 	9246.7 	7890.7 	7385.4 	6428.3 	5105.4 	3993.3 	3637.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S21,UK	: 	: 	304404.7 	314056.3 	304415.2 	285033.0 	273956.7 	266663.8 	264089.3 	265896.2 	275072.9 	261395.8 	251033.4 	280204.1 	286623.0 	316053.8 	263860.8 	246207.6 	240950.1 	245816.9 	240704.7 	231202.6 	214268.6 	206669.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CLV05_MEUR,P6_S2111,BE	192112.9 p	173638.4 p	183516.2 	180220.2 	176037.5 	166888.3 	158981.5 	152609.7 	146133.8 	146785.6 	149515.3 	146213.0 	137876.8 	156041.1 	153046.9 	144565.4 	135935.9 	131205.6 	124105.9 	120157.0 	117240.1 	116645.0 	105504.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
